"row" "x" "id" "date" "time" "antenna" "Time_of_day"
"167" "602" "0007E51BDC" "2020-11-17" "13:43:15" "3" "Afternoon"
"168" "603" "0007E51BDC" "2020-11-17" "13:43:16" "3" "Afternoon"
"169" "604" "0007E51BDC" "2020-11-17" "13:43:18" "3" "Afternoon"
"170" "605" "0007E04FF8" "2020-11-17" "13:43:19" "3" "Afternoon"
"171" "606" "0007A5AAD5" "2020-11-17" "13:43:21" "3" "Afternoon"
"172" "607" "0007E04FF8" "2020-11-17" "13:43:23" "3" "Afternoon"
"173" "608" "0007E51BDC" "2020-11-17" "13:43:28" "2" "Afternoon"
"174" "613" "0007DED11A" "2020-11-17" "13:43:32" "2" "Afternoon"
"175" "618" "0007E05866" "2020-11-17" "13:43:36" "2" "Afternoon"
"176" "620" "0007E05866" "2020-11-17" "13:43:37" "2" "Afternoon"
"177" "622" "0007E05866" "2020-11-17" "13:43:38" "2" "Afternoon"
"178" "624" "0007E05866" "2020-11-17" "13:43:39" "2" "Afternoon"
"179" "625" "0007E05866" "2020-11-17" "13:43:40" "2" "Afternoon"
"180" "626" "0007A04979" "2020-11-17" "13:43:42" "2" "Afternoon"
"181" "627" "0007A56748" "2020-11-17" "13:43:50" "2" "Afternoon"
"182" "629" "0007A56748" "2020-11-17" "13:43:53" "2" "Afternoon"
"183" "630" "0007A56748" "2020-11-17" "13:43:54" "2" "Afternoon"
"184" "631" "0007A56748" "2020-11-17" "13:43:55" "2" "Afternoon"
"185" "632" "0007DF1C00" "2020-11-17" "13:43:55" "2" "Afternoon"
"186" "633" "0007E04FF8" "2020-11-17" "13:43:56" "2" "Afternoon"
"187" "636" "0007E51BDC" "2020-11-17" "13:44:00" "2" "Afternoon"
"188" "637" "0007E51BDC" "2020-11-17" "13:44:02" "2" "Afternoon"
"189" "638" "0007E51BDC" "2020-11-17" "13:44:03" "2" "Afternoon"
"190" "639" "0007E51BDC" "2020-11-17" "13:44:04" "2" "Afternoon"
"191" "640" "0007E05866" "2020-11-17" "13:44:05" "2" "Afternoon"
"192" "641" "0007E05866" "2020-11-17" "13:44:06" "2" "Afternoon"
"193" "642" "0007E51BDC" "2020-11-17" "13:44:06" "2" "Afternoon"
"194" "643" "0007DF1C00" "2020-11-17" "13:44:07" "2" "Afternoon"
"195" "644" "0007E51BDC" "2020-11-17" "13:44:07" "2" "Afternoon"
"196" "645" "0007DF1C00" "2020-11-17" "13:44:08" "2" "Afternoon"
"197" "646" "0007DF1C00" "2020-11-17" "13:44:09" "2" "Afternoon"
"198" "647" "0007DF9187" "2020-11-17" "13:45:28" "4" "Afternoon"
"199" "648" "0007DF9187" "2020-11-17" "13:45:29" "4" "Afternoon"
"200" "649" "0007DF9187" "2020-11-17" "13:45:30" "4" "Afternoon"
"201" "650" "0007DF9187" "2020-11-17" "13:45:31" "4" "Afternoon"
"202" "651" "0007DF9187" "2020-11-17" "13:45:32" "4" "Afternoon"
"203" "652" "0007DF9187" "2020-11-17" "13:45:33" "4" "Afternoon"
"204" "653" "0007DF9187" "2020-11-17" "13:45:34" "4" "Afternoon"
"205" "654" "0007DF9187" "2020-11-17" "13:45:35" "4" "Afternoon"
"206" "655" "0007DF9187" "2020-11-17" "13:45:36" "4" "Afternoon"
"207" "656" "0007DF9187" "2020-11-17" "13:45:37" "4" "Afternoon"
"208" "657" "0007DF9187" "2020-11-17" "13:45:38" "4" "Afternoon"
"209" "658" "0007DF9187" "2020-11-17" "13:45:39" "4" "Afternoon"
"210" "659" "0007DF9187" "2020-11-17" "13:45:40" "4" "Afternoon"
"211" "660" "0007DF9187" "2020-11-17" "13:45:41" "4" "Afternoon"
"212" "684" "0007DF9187" "2020-11-17" "13:47:47" "3" "Afternoon"
"213" "764" "0007A5AAD5" "2020-11-17" "13:58:10" "2" "Afternoon"
"214" "769" "0007A56748" "2020-11-17" "13:58:34" "3" "Afternoon"
"215" "770" "0007A56748" "2020-11-17" "13:58:35" "3" "Afternoon"
"216" "771" "0007A56748" "2020-11-17" "13:58:36" "3" "Afternoon"
"217" "772" "0007A56748" "2020-11-17" "13:58:37" "3" "Afternoon"
"218" "773" "0007A56748" "2020-11-17" "13:58:38" "3" "Afternoon"
"219" "774" "0007A56748" "2020-11-17" "13:58:39" "3" "Afternoon"
"220" "775" "0007A56748" "2020-11-17" "13:58:44" "3" "Afternoon"
"221" "776" "0007A56748" "2020-11-17" "13:58:45" "3" "Afternoon"
"222" "777" "0007A56748" "2020-11-17" "13:58:46" "3" "Afternoon"
"223" "778" "0007A56748" "2020-11-17" "13:58:47" "3" "Afternoon"
"224" "779" "0007A56748" "2020-11-17" "13:58:48" "3" "Afternoon"
"225" "780" "0007A56748" "2020-11-17" "13:59:24" "1" "Afternoon"
"226" "781" "0007A56748" "2020-11-17" "13:59:26" "1" "Afternoon"
"227" "782" "0007A56748" "2020-11-17" "13:59:27" "1" "Afternoon"
"228" "783" "0007A56748" "2020-11-17" "13:59:28" "1" "Afternoon"
"229" "792" "0007A65EB5" "2020-11-17" "14:01:20" "4" "Afternoon"
"230" "793" "0007A65EB5" "2020-11-17" "14:01:21" "4" "Afternoon"
"231" "794" "0007A65EB5" "2020-11-17" "14:01:22" "4" "Afternoon"
"232" "795" "0007A65EB5" "2020-11-17" "14:01:23" "4" "Afternoon"
"233" "796" "0007A5AAD5" "2020-11-17" "14:01:25" "1" "Afternoon"
"234" "809" "0007A5DCCA" "2020-11-17" "14:14:28" "4" "Afternoon"
"235" "810" "0007A5DCCA" "2020-11-17" "14:14:29" "4" "Afternoon"
"236" "811" "0007A5DCCA" "2020-11-17" "14:14:30" "4" "Afternoon"
"237" "812" "0007A5DCCA" "2020-11-17" "14:14:31" "4" "Afternoon"
"238" "813" "0007A5DCCA" "2020-11-17" "14:14:32" "4" "Afternoon"
"239" "814" "0007A5DCCA" "2020-11-17" "14:14:33" "4" "Afternoon"
"240" "815" "0007A5DCCA" "2020-11-17" "14:14:34" "4" "Afternoon"
"241" "816" "0007EA009A" "2020-11-17" "14:14:36" "4" "Afternoon"
"242" "817" "0007EA009A" "2020-11-17" "14:14:37" "4" "Afternoon"
"243" "818" "0007A5AAD5" "2020-11-17" "14:14:38" "4" "Afternoon"
"244" "819" "0007A5AAD5" "2020-11-17" "14:14:39" "4" "Afternoon"
"245" "820" "0007A5AAD5" "2020-11-17" "14:14:40" "4" "Afternoon"
"246" "821" "0007A5AAD5" "2020-11-17" "14:14:41" "4" "Afternoon"
"247" "822" "0007A5AAD5" "2020-11-17" "14:14:42" "4" "Afternoon"
"248" "823" "0007A5AAD5" "2020-11-17" "14:14:43" "4" "Afternoon"
