"","tag_id","test_id","unique_exp_antenna","unique_bold_antenna","latency_exp1","latency_exp2","latency_exp3","latency_exp4","latency_exp5","latency_bold1","latency_bold2","latency_bold3","latency_bold4"
"144","0007A5D8AB","mixed8","5","3","0.0452777777777778","0.0508333333333333","0.0636111111111111","0.195277777777778","0.341111111111111","0.922777777777778","0.983333333333333","3.00388888888889",NA
"145","0007A5CE1B","mixed8","5","2","0.0452777777777778","0.289166666666667","0.744166666666667","1.07361111111111","2.98555555555556","0.253611111111111","1.8",NA,NA
"146","0007A5D487","mixed8","4","1","0.0461111111111111","0.276388888888889","0.391111111111111","0.874166666666667",NA,"0.0977777777777778",NA,NA,NA
"147","0007A5D10E","mixed8","5","1","0.0466666666666667","0.113055555555556","0.446666666666667","1.14611111111111","1.71222222222222","2.85972222222222",NA,NA,NA
"148","0007A5A864","mixed8","4","4","0.0472222222222222","0.0655555555555555","0.151111111111111","0.198611111111111",NA,"1.63194444444444","1.745","2.1825","3.2275"
"149","0007A3CCB5","mixed8","5","4","0.0475","0.2025","0.244444444444444","0.485555555555556","0.908333333333333","0.344722222222222","1.63111111111111","1.76833333333333","2.62361111111111"
"150","0007A5DF18","mixed8","5","3","0.0588888888888889","0.409166666666667","0.954722222222222","2.02805555555556","3.17861111111111","0.0730555555555556","0.0936111111111111","3.81555555555556",NA
"151","0007A5C6D8","mixed8","4","0","0.0613888888888889","0.722222222222222","2.99333333333333","3.57944444444444",NA,NA,NA,NA,NA
"152","0007A5CAE6","mixed8","5","4","0.0669444444444444","0.371111111111111","0.504722222222222","0.895555555555556","1.01638888888889","0.136111111111111","0.151944444444444","0.693055555555556","0.746111111111111"
"153","0007A387B9","mixed8","5","4","0.0869444444444444","0.466111111111111","0.884444444444444","0.990277777777778","3.97666666666667","0.0711111111111111","0.0725","0.422777777777778","3.66555555555556"
"154","0007A5CE08","mixed8","5","4","0.139166666666667","0.41","0.485833333333333","0.492777777777778","0.505555555555556","0.0736111111111111","0.113055555555556","0.424166666666667","1.23666666666667"
"155","0007A5A781","mixed8","5","0","0.0797222222222222","0.293055555555556","0.813333333333333","1.53194444444444","2.85361111111111",NA,NA,NA,NA
"156","0007A5C9CD","mixed8","3","4","0.213888888888889","0.409444444444444","2.2175",NA,NA,"1.33833333333333","2.21027777777778","3.96722222222222","3.97416666666667"
"157","0007A5CDC7","mixed8","5","2","0.356388888888889","0.894166666666667","1.0675","1.295","4.50805555555556","0.635555555555556","3.88555555555556",NA,NA
"158","0007A5D995","mixed9","5","4","0.0197222222222222","0.0719444444444444","0.0880555555555556","0.0927777777777778","0.123333333333333","1.01222222222222","1.01694444444444","1.10333333333333","1.45972222222222"
"159","0007A5C810","mixed9","5","4","0.0269444444444444","0.0813888888888889","0.0963888888888889","1.89611111111111","3.62333333333333","0.739166666666667","0.743888888888889","0.809166666666667","1.03888888888889"
"160","0007A5D83B","mixed9","2","4","0.0327777777777778","0.0602777777777778",NA,NA,NA,"1.03222222222222","1.51166666666667","1.54527777777778","2.52361111111111"
"161","0007A5C773","mixed9","5","4","0.0394444444444444","0.0594444444444444","0.0730555555555556","1.09277777777778","1.21277777777778","0.0825","0.387777777777778","0.407777777777778","0.975"
"162","0007A5D10C","mixed9","5","2","0.0433333333333333","0.115555555555556","0.120555555555556","0.461666666666667","1.29611111111111","0.256666666666667","1.45527777777778",NA,NA
"163","0007A5A76E","mixed9","5","4","0.0441666666666667","0.0827777777777778","0.261944444444444","0.297222222222222","1.01805555555556","0.293611111111111","1.42416666666667","1.55333333333333","1.59916666666667"
"164","0007A5D36A","mixed9","5","3","0.0441666666666667","0.0691666666666667","0.707222222222222","1.00861111111111","1.13666666666667","1.44333333333333","2.23611111111111","2.35555555555556",NA
"165","0007A3F139","mixed9","5","3","0.0444444444444444","0.0505555555555556","0.0716666666666667","0.513333333333333","0.625833333333333","0.263611111111111","2.12222222222222","4.0775",NA
"166","0007A5DEAF","mixed9","5","4","0.0927777777777778","0.180833333333333","0.545833333333333","0.973333333333333","3.91444444444444","0.045","1.01305555555556","1.52527777777778","1.74055555555556"
"167","0007A3A506","mixed9","5","4","0.0461111111111111","0.0508333333333333","0.582777777777778","0.808055555555556","1.0375","0.231944444444444","0.246666666666667","0.339166666666667","1.24166666666667"
"168","0007A34309","mixed9","5","4","0.0463888888888889","0.0841666666666667","0.0927777777777778","0.817777777777778","1.24944444444444","0.167222222222222","0.242777777777778","0.256666666666667","1.77083333333333"
"169","0007A5C777","mixed9","4","4","0.05","0.0613888888888889","3.71944444444444","3.84638888888889",NA,"0.444722222222222","0.865833333333333","1.01055555555556","1.08166666666667"
"170","0007A5C910","mixed9","5","2","0.0505555555555556","0.0558333333333333","0.633055555555556","1.12305555555556","1.20222222222222","1.98166666666667","2.65222222222222",NA,NA
"171","0007A5CEBD","mixed9","5","4","0.0713888888888889","0.128611111111111","0.185555555555556","0.340555555555556","0.436666666666667","0.065","0.0794444444444444","0.863333333333333","0.955555555555556"
