Identifier;Date;Time;Unit number;Antenna number;Transponder type;Transponder code;Weight;Input status;Output status;Event;GPS coordinates
202159;09-11-2020;09:31:19;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202160;09-11-2020;09:31:20;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202161;09-11-2020;09:31:21;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202162;09-11-2020;09:31:22;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202163;09-11-2020;09:31:23;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202164;09-11-2020;09:31:23;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202165;09-11-2020;09:31:24;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202166;09-11-2020;09:31:25;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202167;09-11-2020;09:31:25;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202168;09-11-2020;09:31:26;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202169;09-11-2020;09:31:27;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202170;09-11-2020;09:31:28;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202171;09-11-2020;09:31:28;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202172;09-11-2020;09:31:29;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202173;09-11-2020;09:31:30;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202174;09-11-2020;09:31:30;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202175;09-11-2020;09:31:31;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202176;09-11-2020;09:31:31;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
202177;09-11-2020;09:31:32;35;-;Trovan Unique;0007E4EAF8;-;00000000;00000000;-;""
