Identifier;date;time;antenna;Antenna number;Transponder type;id;Weight;Input status;Output status;Event;GPS coordinates
201322;05-11-20;09:18:47;32;-;Trovan Unique;00066DBF3E;-;0;0;-;
201323;05-11-20;13:13:49;43;-;Trovan Unique;0007A05274;-;0;0;-;
201324;05-11-20;13:13:50;43;-;Trovan Unique;0007A56748;-;0;0;-;
201325;05-11-20;13:13:51;43;-;Trovan Unique;0007A56748;-;0;0;-;
201326;05-11-20;13:13:52;43;-;Trovan Unique;0007A56748;-;0;0;-;
201327;05-11-20;13:13:52;43;-;Trovan Unique;0007A56748;-;0;0;-;
201328;05-11-20;13:13:53;43;-;Trovan Unique;0007A56748;-;0;0;-;
201329;05-11-20;13:13:54;43;-;Trovan Unique;0007A56748;-;0;0;-;
201330;05-11-20;13:14:00;43;-;Trovan Unique;0007A04979;-;0;0;-;
201331;05-11-20;13:14:01;43;-;Trovan Unique;0007A56748;-;0;0;-;
201332;05-11-20;13:14:02;43;-;Trovan Unique;0007A56748;-;0;0;-;
201333;05-11-20;13:14:03;43;-;Trovan Unique;0007A56748;-;0;0;-;
201334;05-11-20;13:14:03;43;-;Trovan Unique;0007A04979;-;0;0;-;
201335;05-11-20;13:14:05;43;-;Trovan Unique;0007A04979;-;0;0;-;
201336;05-11-20;13:14:05;43;-;Trovan Unique;0007A04979;-;0;0;-;
201337;05-11-20;13:14:06;43;-;Trovan Unique;0007A04979;-;0;0;-;
201338;05-11-20;13:14:07;43;-;Trovan Unique;0007A04979;-;0;0;-;
201339;05-11-20;13:14:08;43;-;Trovan Unique;0007A04979;-;0;0;-;
201340;05-11-20;13:14:20;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201341;05-11-20;13:14:20;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201342;05-11-20;13:14:21;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201343;05-11-20;13:14:22;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201344;05-11-20;13:14:22;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201345;05-11-20;13:14:23;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201346;05-11-20;13:14:24;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201347;05-11-20;13:14:24;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201348;05-11-20;13:14:25;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201349;05-11-20;13:14:25;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201350;05-11-20;13:14:26;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201351;05-11-20;13:14:27;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201352;05-11-20;13:14:27;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201353;05-11-20;13:14:29;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201354;05-11-20;13:14:29;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201355;05-11-20;13:14:30;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201356;05-11-20;13:14:31;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201357;05-11-20;13:14:31;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201358;05-11-20;13:14:32;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201359;05-11-20;13:14:33;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201360;05-11-20;13:14:33;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201361;05-11-20;13:14:34;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201362;05-11-20;13:14:35;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201363;05-11-20;13:14:35;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201364;05-11-20;13:14:36;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201365;05-11-20;13:14:37;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201366;05-11-20;13:14:38;43;-;Trovan Unique;0007A56748;-;0;0;-;
201367;05-11-20;13:14:38;43;-;Trovan Unique;0007A56748;-;0;0;-;
201368;05-11-20;13:14:39;43;-;Trovan Unique;0007A56748;-;0;0;-;
201369;05-11-20;13:14:53;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201370;05-11-20;13:14:53;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201371;05-11-20;13:14:54;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201372;05-11-20;13:14:54;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201373;05-11-20;13:14:55;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201374;05-11-20;13:14:56;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201375;05-11-20;13:14:56;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201376;05-11-20;13:14:57;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201377;05-11-20;13:14:58;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201378;05-11-20;13:14:58;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201379;05-11-20;13:14:59;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201380;05-11-20;13:15:01;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201381;05-11-20;13:15:02;43;-;Trovan Unique;0007E51C59;-;0;0;-;
201382;05-11-20;13:15:03;43;-;Trovan Unique;0007A56748;-;0;0;-;
201383;05-11-20;13:15:04;43;-;Trovan Unique;0007A56748;-;0;0;-;
201384;05-11-20;13:15:05;43;-;Trovan Unique;0007A56748;-;0;0;-;
201385;05-11-20;13:15:05;43;-;Trovan Unique;0007A56748;-;0;0;-;
201386;05-11-20;13:15:06;43;-;Trovan Unique;0007A56748;-;0;0;-;
201387;05-11-20;13:15:06;43;-;Trovan Unique;0007A56748;-;0;0;-;
201388;05-11-20;13:15:07;43;-;Trovan Unique;0007A56748;-;0;0;-;
201389;05-11-20;13:15:08;43;-;Trovan Unique;0007A56748;-;0;0;-;
201390;05-11-20;13:15:08;43;-;Trovan Unique;0007A56748;-;0;0;-;
201391;05-11-20;13:15:10;43;-;Trovan Unique;0007A56748;-;0;0;-;
201392;05-11-20;13:15:11;43;-;Trovan Unique;0007A56748;-;0;0;-;
201393;05-11-20;13:15:12;43;-;Trovan Unique;0007A56748;-;0;0;-;
201394;05-11-20;13:15:12;43;-;Trovan Unique;0007A56748;-;0;0;-;
201395;05-11-20;13:25:20;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201396;05-11-20;13:25:23;42;-;Trovan Unique;0007A04979;-;0;0;-;
201397;05-11-20;13:25:24;42;-;Trovan Unique;0007A04979;-;0;0;-;
201398;05-11-20;13:25:24;42;-;Trovan Unique;0007A04979;-;0;0;-;
201399;05-11-20;13:25:26;42;-;Trovan Unique;0007A04979;-;0;0;-;
201400;05-11-20;13:25:28;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201401;05-11-20;13:25:29;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201402;05-11-20;13:25:29;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201403;05-11-20;13:25:30;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201404;05-11-20;13:25:31;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201405;05-11-20;13:25:31;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201406;05-11-20;13:25:32;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201407;05-11-20;13:25:33;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201408;05-11-20;13:25:33;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201409;05-11-20;13:25:34;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201410;05-11-20;13:25:34;42;-;Trovan Unique;0007EA009A;-;0;0;-;
201411;05-11-20;13:25:35;42;-;Trovan Unique;0007EA009A;-;0;0;-;
